local;visitante;prob_ganar_local;prob_empate;prob_ganar_visitante;resultado
Paris Saint-Germain;Borussia Dortmund;17.74;3.67;12.99;1
Real Madrid CF;FC Bayern München;12.07;3.39;13.85;2
Borussia Dortmund;Paris Saint-Germain;12.99;3.67;17.74;2
FC Bayern München;Real Madrid CF;13.85;3.39;12.07;1
