local;visitante;prob_ganar_local;prob_empate;prob_ganar_visitante;resultado
Real Madrid CF;Borussia Dortmund;19.72;3.3;11.01;1
Borussia Dortmund;Real Madrid CF;11.01;3.3;19.72;2
